"CubeId";"auvekomq"
"PublishingDate";"2025-03-24 09:00"

"Date";"D0";"D1";"Value"
"2000-Q4";"A";"T0";"2220990.68971786"
"2000-Q4";"A";"T1";"415767.898"
"2000-Q4";"A";"T2";"822028.13455637"
"2000-Q4";"A";"D";
"2000-Q4";"A";"T4";"895339.06344323"
"2000-Q4";"A";"T7";"87855.59371826"
"2000-Q4";"P";"T0";"1716248.19647171"
"2000-Q4";"P";"T1";"202094.71657171"
"2000-Q4";"P";"T2";"671354.961"
"2000-Q4";"P";"D";
"2000-Q4";"P";"T4";"842798.5189"
"2000-Q4";"N";"T0";"504742.49324615"
"2000-Q4";"N";"T1";"213673.18142829"
"2000-Q4";"N";"T2";"150673.17355637"
"2000-Q4";"N";"D";
"2000-Q4";"N";"T4";"52540.54454323"
"2000-Q4";"N";"T7";"87855.59371826"
"2001-Q1";"A";"T0";"2291503.89481805"
"2001-Q1";"A";"T1";"425765.02701572"
"2001-Q1";"A";"T2";"844357.61576467"
"2001-Q1";"A";"D";
"2001-Q1";"A";"T4";"935104.57568528"
"2001-Q1";"A";"T7";"86276.67635238"
"2001-Q1";"P";"T0";"1740433.41923611"
"2001-Q1";"P";"T1";"201284.42121511"
"2001-Q1";"P";"T2";"613131.296"
"2001-Q1";"P";"D";
"2001-Q1";"P";"T4";"926017.702021"
"2001-Q1";"N";"T0";"551070.47558195"
"2001-Q1";"N";"T1";"224480.60580061"
"2001-Q1";"N";"T2";"231226.31976467"
"2001-Q1";"N";"D";
"2001-Q1";"N";"T4";"9086.87366428"
"2001-Q1";"N";"T7";"86276.67635238"
"2001-Q2";"A";"T0";"2341252.53712308"
"2001-Q2";"A";"T1";"439117.74204129"
"2001-Q2";"A";"T2";"881459.1239198"
"2001-Q2";"A";"D";
"2001-Q2";"A";"T4";"930304.12883169"
"2001-Q2";"A";"T7";"90371.5423303"
"2001-Q2";"P";"T0";"1744038.2499085"
"2001-Q2";"P";"T1";"207296.3258585"
"2001-Q2";"P";"T2";"622921.076"
"2001-Q2";"P";"D";
"2001-Q2";"P";"T4";"913820.84805"
"2001-Q2";"N";"T0";"597214.28721458"
"2001-Q2";"N";"T1";"231821.41618279"
"2001-Q2";"N";"T2";"258538.0479198"
"2001-Q2";"N";"D";
"2001-Q2";"N";"T4";"16483.28078169"
"2001-Q2";"N";"T7";"90371.5423303"
"2001-Q3";"A";"T0";"2102285.93233729"
"2001-Q3";"A";"T1";"434545.592731"
"2001-Q3";"A";"T2";"778387.79968232"
"2001-Q3";"A";"D";
"2001-Q3";"A";"T4";"802428.63930181"
"2001-Q3";"A";"T7";"86923.90062217"
"2001-Q3";"P";"T0";"1532650.3390449"
"2001-Q3";"P";"T1";"210422.1305019"
"2001-Q3";"P";"T2";"526135.088"
"2001-Q3";"P";"D";
"2001-Q3";"P";"T4";"796093.120543"
"2001-Q3";"N";"T0";"569635.5932924"
"2001-Q3";"N";"T1";"224123.4622291"
"2001-Q3";"N";"T2";"252252.71168232"
"2001-Q3";"N";"D";
"2001-Q3";"N";"T4";"6335.51875881"
"2001-Q3";"N";"T7";"86923.90062217"
"2001-Q4";"A";"T0";"2219367.14381925"
"2001-Q4";"A";"T1";"459938.46759227"
"2001-Q4";"A";"T2";"815964.05701413"
"2001-Q4";"A";"D";
"2001-Q4";"A";"T4";"856433.58644198"
"2001-Q4";"A";"T7";"87031.03277087"
"2001-Q4";"P";"T0";"1632551.22422929"
"2001-Q4";"P";"T1";"210854.53514529"
"2001-Q4";"P";"T2";"586561.873"
"2001-Q4";"P";"D";
"2001-Q4";"P";"T4";"835134.816084"
"2001-Q4";"N";"T0";"586815.91958996"
"2001-Q4";"N";"T1";"249083.93244698"
"2001-Q4";"N";"T2";"229402.18401413"
"2001-Q4";"N";"D";
"2001-Q4";"N";"T4";"21298.77035798"
"2001-Q4";"N";"T7";"87031.03277087"
"2002-Q1";"A";"T0";"2280076.90861968"
"2002-Q1";"A";"T1";"458485.84053588"
"2002-Q1";"A";"T2";"833494.41077475"
"2002-Q1";"A";"D";
"2002-Q1";"A";"T4";"898904.53282163"
"2002-Q1";"A";"T7";"89192.12448742"
"2002-Q1";"P";"T0";"1700352.10610217"
"2002-Q1";"P";"T1";"217855.66460217"
"2002-Q1";"P";"T2";"602486.514"
"2002-Q1";"P";"D";
"2002-Q1";"P";"T4";"880009.9275"
"2002-Q1";"N";"T0";"579724.80251752"
"2002-Q1";"N";"T1";"240630.17593372"
"2002-Q1";"N";"T2";"231007.89677475"
"2002-Q1";"N";"D";
"2002-Q1";"N";"T4";"18894.60532163"
"2002-Q1";"N";"T7";"89192.12448742"
"2002-Q2";"A";"T0";"2155451.22167626"
"2002-Q2";"A";"T1";"440950.34275632"
"2002-Q2";"A";"T2";"764487.58912419"
"2002-Q2";"A";"D";
"2002-Q2";"A";"T4";"865984.67416164"
"2002-Q2";"A";"T7";"84028.61563411"
"2002-Q2";"P";"T0";"1619365.42835904"
"2002-Q2";"P";"T1";"220357.49405904"
"2002-Q2";"P";"T2";"574925.326"
"2002-Q2";"P";"D";
"2002-Q2";"P";"T4";"824082.6083"
"2002-Q2";"N";"T0";"536085.79331722"
"2002-Q2";"N";"T1";"220592.84869728"
"2002-Q2";"N";"T2";"189562.26312419"
"2002-Q2";"N";"D";
"2002-Q2";"N";"T4";"41902.06586164"
"2002-Q2";"N";"T7";"84028.61563411"
"2002-Q3";"A";"T0";"2084873.95991121"
"2002-Q3";"A";"T1";"443365.3109374"
"2002-Q3";"A";"T2";"717391.13471401"
"2002-Q3";"A";"D";
"2002-Q3";"A";"T4";"837115.64896193"
"2002-Q3";"A";"T7";"87001.86529787"
"2002-Q3";"P";"T0";"1512759.31441591"
"2002-Q3";"P";"T1";"230157.22351591"
"2002-Q3";"P";"T2";"489301.979"
"2002-Q3";"P";"D";
"2002-Q3";"P";"T4";"793300.1119"
"2002-Q3";"N";"T0";"572114.6454953"
"2002-Q3";"N";"T1";"213208.08742149"
"2002-Q3";"N";"T2";"228089.15571401"
"2002-Q3";"N";"D";
"2002-Q3";"N";"T4";"43815.53706193"
"2002-Q3";"N";"T7";"87001.86529787"
"2002-Q4";"A";"T0";"2115429.03642835"
"2002-Q4";"A";"T1";"446427.924"
"2002-Q4";"A";"T2";"724385.48524456"
"2002-Q4";"A";"D";
"2002-Q4";"A";"T4";"859266.47001353"
"2002-Q4";"A";"T7";"85349.15717026"
"2002-Q4";"P";"T0";"1542904.27267278"
"2002-Q4";"P";"T1";"240280.65297278"
"2002-Q4";"P";"T2";"485659.72"
"2002-Q4";"P";"D";
"2002-Q4";"P";"T4";"816963.8997"
"2002-Q4";"N";"T0";"572524.76375557"
"2002-Q4";"N";"T1";"206147.27102722"
"2002-Q4";"N";"T2";"238725.76524456"
"2002-Q4";"N";"D";
"2002-Q4";"N";"T4";"42302.57031353"
"2002-Q4";"N";"T7";"85349.15717026"
"2003-Q1";"A";"T0";"2115903.36748848"
"2003-Q1";"A";"T1";"455067.15801562"
"2003-Q1";"A";"T2";"722258.88356699"
"2003-Q1";"A";"D";
"2003-Q1";"A";"T4";"854976.19104922"
"2003-Q1";"A";"T7";"83601.13485665"
"2003-Q1";"P";"T0";"1483303.32680451"
"2003-Q1";"P";"T1";"242709.74690201"
"2003-Q1";"P";"T2";"426690.212"
"2003-Q1";"P";"D";
"2003-Q1";"P";"T4";"813903.3679025"
"2003-Q1";"N";"T0";"632600.04068397"
"2003-Q1";"N";"T1";"212357.41111361"
"2003-Q1";"N";"T2";"295568.67156699"
"2003-Q1";"N";"D";
"2003-Q1";"N";"T4";"41072.82314672"
"2003-Q1";"N";"T7";"83601.13485665"
"2003-Q2";"A";"T0";"2219836.22897081"
"2003-Q2";"A";"T1";"466042.25416705"
"2003-Q2";"A";"T2";"782142.87643004"
"2003-Q2";"A";"D";
"2003-Q2";"A";"T4";"885512.67960838"
"2003-Q2";"A";"T7";"86138.41876533"
"2003-Q2";"P";"T0";"1578961.40383624"
"2003-Q2";"P";"T1";"250819.44083124"
"2003-Q2";"P";"T2";"486498.091"
"2003-Q2";"P";"D";
"2003-Q2";"P";"T4";"841643.872005"
"2003-Q2";"N";"T0";"640874.82513456"
"2003-Q2";"N";"T1";"215222.81333581"
"2003-Q2";"N";"T2";"295644.78543004"
"2003-Q2";"N";"D";
"2003-Q2";"N";"T4";"43868.80760338"
"2003-Q2";"N";"T7";"86138.41876533"
"2003-Q3";"A";"T0";"2197647.45786824"
"2003-Q3";"A";"T1";"468775.41812282"
"2003-Q3";"A";"T2";"785620.99400834"
"2003-Q3";"A";"D";
"2003-Q3";"A";"T4";"856344.07931865"
"2003-Q3";"A";"T7";"86906.96641844"
"2003-Q3";"P";"T0";"1595932.13914632"
"2003-Q3";"P";"T1";"261667.63476048"
"2003-Q3";"P";"T2";"518518.282"
"2003-Q3";"P";"D";
"2003-Q3";"P";"T4";"815746.22238584"
"2003-Q3";"N";"T0";"601715.31872193"
"2003-Q3";"N";"T1";"207107.78336234"
"2003-Q3";"N";"T2";"267102.71200834"
"2003-Q3";"N";"D";
"2003-Q3";"N";"T4";"40597.85693281"
"2003-Q3";"N";"T7";"86906.96641844"
"2003-Q4";"A";"T0";"2204493.17848557"
"2003-Q4";"A";"T1";"477495.5664289"
"2003-Q4";"A";"T2";"816256.60272163"
"2003-Q4";"A";"D";
"2003-Q4";"A";"T4";"824693.53120606"
"2003-Q4";"A";"T7";"86047.47812898"
"2003-Q4";"P";"T0";"1649979.99479971"
"2003-Q4";"P";"T1";"282980.82868971"
"2003-Q4";"P";"T2";"556790.401"
"2003-Q4";"P";"D";
"2003-Q4";"P";"T4";"810208.76511"
"2003-Q4";"N";"T0";"554513.18368587"
"2003-Q4";"N";"T1";"194514.73773919"
"2003-Q4";"N";"T2";"259466.20172163"
"2003-Q4";"N";"D";
"2003-Q4";"N";"T4";"14484.76609606"
"2003-Q4";"N";"T7";"86047.47812898"
"2004-Q1";"A";"T0";"2332306.67895542"
"2004-Q1";"A";"T1";"488842.23679702"
"2004-Q1";"A";"T2";"850419.21113425"
"2004-Q1";"A";"D";
"2004-Q1";"A";"T4";"903001.30915289"
"2004-Q1";"A";"T7";"90043.92187126"
"2004-Q1";"P";"T0";"1771846.43588913"
"2004-Q1";"P";"T1";"292490.20605788"
"2004-Q1";"P";"T2";"573088.857"
"2004-Q1";"P";"D";
"2004-Q1";"P";"T4";"906267.37283125"
"2004-Q1";"N";"T0";"560460.24306629"
"2004-Q1";"N";"T1";"196352.03073914"
"2004-Q1";"N";"T2";"277330.35413425"
"2004-Q1";"N";"D";
"2004-Q1";"N";"T4";"-3266.06367836"
"2004-Q1";"N";"T7";"90043.92187126"
"2004-Q2";"A";"T0";"2332269.41323927"
"2004-Q2";"A";"T1";"496020.45920728"
"2004-Q2";"A";"T2";"846155.7191141"
"2004-Q2";"A";"D";"22481"
"2004-Q2";"A";"T4";"884028.77095882"
"2004-Q2";"A";"T7";"83583.46395907"
"2004-Q2";"P";"T0";"1786127.09355134"
"2004-Q2";"P";"T1";"297828.58342605"
"2004-Q2";"P";"T2";"580906.144"
"2004-Q2";"P";"D";"20194"
"2004-Q2";"P";"T4";"887198.36612529"
"2004-Q2";"N";"T0";"546142.31968793"
"2004-Q2";"N";"T1";"198191.87578123"
"2004-Q2";"N";"T2";"265249.5751141"
"2004-Q2";"N";"D";"2287"
"2004-Q2";"N";"T4";"-3169.59516647"
"2004-Q2";"N";"T7";"83583.46395907"
"2004-Q3";"A";"T0";"2319091.38449215"
"2004-Q3";"A";"T1";"507266.81198042"
"2004-Q3";"A";"T2";"864055.75136552"
"2004-Q3";"A";"D";"21708"
"2004-Q3";"A";"T4";"839119.07643936"
"2004-Q3";"A";"T7";"86941.74470685"
"2004-Q3";"P";"T0";"1742411.59116797"
"2004-Q3";"P";"T1";"303323.26079422"
"2004-Q3";"P";"T2";"570241.744"
"2004-Q3";"P";"D";"23239"
"2004-Q3";"P";"T4";"845607.58637375"
"2004-Q3";"N";"T0";"576679.79332418"
"2004-Q3";"N";"T1";"203943.5511862"
"2004-Q3";"N";"T2";"293814.00736552"
"2004-Q3";"N";"D";"-1531"
"2004-Q3";"N";"T4";"-6488.50993439"
"2004-Q3";"N";"T7";"86941.74470685"
"2004-Q4";"A";"T0";"2315958.63132144"
"2004-Q4";"A";"T1";"519370.268"
"2004-Q4";"A";"T2";"860284.08910805"
"2004-Q4";"A";"D";"31498"
"2004-Q4";"A";"T4";"820343.79644545"
"2004-Q4";"A";"T7";"84462.47776794"
"2004-Q4";"P";"T0";"1757195.38535739"
"2004-Q4";"P";"T1";"317920.93816239"
"2004-Q4";"P";"T2";"589478.008"
"2004-Q4";"P";"D";"34141"
"2004-Q4";"P";"T4";"815655.439195"
"2004-Q4";"N";"T0";"558763.24596405"
"2004-Q4";"N";"T1";"201449.32983761"
"2004-Q4";"N";"T2";"270806.08110805"
"2004-Q4";"N";"D";"-2643"
"2004-Q4";"N";"T4";"4688.35725045"
"2004-Q4";"N";"T7";"84462.47776794"
"2005-Q1";"A";"T0";"2426745.88361262"
"2005-Q1";"A";"T1";"552943.16513052"
"2005-Q1";"A";"T2";"889461.2169377"
"2005-Q1";"A";"D";"32161.4"
"2005-Q1";"A";"T4";"865097.12445997"
"2005-Q1";"A";"T7";"87082.97708443"
"2005-Q1";"P";"T0";"1836061.62388105"
"2005-Q1";"P";"T1";"313320.60365355"
"2005-Q1";"P";"T2";"624669.04"
"2005-Q1";"P";"D";"36405.3"
"2005-Q1";"P";"T4";"861666.6802275"
"2005-Q1";"N";"T0";"590684.25973156"
"2005-Q1";"N";"T1";"239622.56147696"
"2005-Q1";"N";"T2";"264792.1769377"
"2005-Q1";"N";"D";"-4243.9"
"2005-Q1";"N";"T4";"3430.44423247"
"2005-Q1";"N";"T7";"87082.97708443"
"2005-Q2";"A";"T0";"2608071.19623177"
"2005-Q2";"A";"T1";"582503.33087091"
"2005-Q2";"A";"T2";"925867.93961395"
"2005-Q2";"A";"D";"36875.4"
"2005-Q2";"A";"T4";"992499.04728181"
"2005-Q2";"A";"T7";"70325.47846509"
"2005-Q2";"P";"T0";"2015225.95540471"
"2005-Q2";"P";"T1";"319915.39414471"
"2005-Q2";"P";"T2";"674751.578"
"2005-Q2";"P";"D";"53253.1"
"2005-Q2";"P";"T4";"967305.88326"
"2005-Q2";"N";"T0";"592845.24082705"
"2005-Q2";"N";"T1";"262587.9367262"
"2005-Q2";"N";"T2";"251116.36161395"
"2005-Q2";"N";"D";"-16377.7"
"2005-Q2";"N";"T4";"25193.16402181"
"2005-Q2";"N";"T7";"70325.47846509"
"2005-Q3";"A";"T0";"2744447.50797351"
"2005-Q3";"A";"T1";"613703.53244202"
"2005-Q3";"A";"T2";"974078.170948"
"2005-Q3";"A";"D";"34374.1"
"2005-Q3";"A";"T4";"1049677.70074188"
"2005-Q3";"A";"T7";"72614.00384161"
"2005-Q3";"P";"T0";"2143818.28992838"
"2005-Q3";"P";"T1";"316792.78463588"
"2005-Q3";"P";"T2";"741060.638"
"2005-Q3";"P";"D";"48124.6"
"2005-Q3";"P";"T4";"1037840.2672925"
"2005-Q3";"N";"T0";"600629.21804513"
"2005-Q3";"N";"T1";"296910.74780614"
"2005-Q3";"N";"T2";"233017.532948"
"2005-Q3";"N";"D";"-13750.5"
"2005-Q3";"N";"T4";"11837.43344938"
"2005-Q3";"N";"T7";"72614.00384161"
"2005-Q4";"A";"T0";"2799700.91772642"
"2005-Q4";"A";"T1";"647804.218"
"2005-Q4";"A";"T2";"1006168.4981754"
"2005-Q4";"A";"D";"32066.3"
"2005-Q4";"A";"T4";"1037833.47063717"
"2005-Q4";"A";"T7";"75828.43091385"
"2005-Q4";"P";"T0";"2197227.94718421"
"2005-Q4";"P";"T1";"332164.47512704"
"2005-Q4";"P";"T2";"805380.562"
"2005-Q4";"P";"D";"43155.9"
"2005-Q4";"P";"T4";"1016527.01005717"
"2005-Q4";"N";"T0";"602472.97054221"
"2005-Q4";"N";"T1";"315639.74287296"
"2005-Q4";"N";"T2";"200787.9361754"
"2005-Q4";"N";"D";"-11089.6"
"2005-Q4";"N";"T4";"21306.46058"
"2005-Q4";"N";"T7";"75828.43091385"
"2006-Q1";"A";"T0";"3024585.60712238"
"2006-Q1";"A";"T1";"720346.15028085"
"2006-Q1";"A";"T2";"1078243.83798515"
"2006-Q1";"A";"D";"37787.7"
"2006-Q1";"A";"T4";"1110380.69679013"
"2006-Q1";"A";"T7";"77827.22206625"
"2006-Q1";"P";"T0";"2361700.62082063"
"2006-Q1";"P";"T1";"340937.72188221"
"2006-Q1";"P";"T2";"842994.541"
"2006-Q1";"P";"D";"39868.9"
"2006-Q1";"P";"T4";"1137899.45793842"
"2006-Q1";"N";"T0";"662884.98630175"
"2006-Q1";"N";"T1";"379408.42839864"
"2006-Q1";"N";"T2";"235249.29698515"
"2006-Q1";"N";"D";"-2081.2"
"2006-Q1";"N";"T4";"-27518.76114829"
"2006-Q1";"N";"T7";"77827.22206625"
"2006-Q2";"A";"T0";"3008355.59581534"
"2006-Q2";"A";"T1";"737620.12741212"
"2006-Q2";"A";"T2";"1059357.4792956"
"2006-Q2";"A";"D";"42597.5"
"2006-Q2";"A";"T4";"1092972.06737189"
"2006-Q2";"A";"T7";"75808.42173573"
"2006-Q2";"P";"T0";"2328020.36145683"
"2006-Q2";"P";"T1";"351996.05681043"
"2006-Q2";"P";"T2";"821731.673"
"2006-Q2";"P";"D";"39830.8"
"2006-Q2";"P";"T4";"1114461.8316464"
"2006-Q2";"N";"T0";"680335.23435851"
"2006-Q2";"N";"T1";"385624.07060169"
"2006-Q2";"N";"T2";"237625.8062956"
"2006-Q2";"N";"D";"2766.7"
"2006-Q2";"N";"T4";"-21489.76427451"
"2006-Q2";"N";"T7";"75808.42173573"
"2006-Q3";"A";"T0";"3141520.54846161"
"2006-Q3";"A";"T1";"804510.45998822"
"2006-Q3";"A";"T2";"1105680.23169495"
"2006-Q3";"A";"D";"39424.7"
"2006-Q3";"A";"T4";"1114417.91439622"
"2006-Q3";"A";"T7";"77487.24238223"
"2006-Q3";"P";"T0";"2446535.77606409"
"2006-Q3";"P";"T1";"366935.28569845"
"2006-Q3";"P";"T2";"898186.694"
"2006-Q3";"P";"D";"38302"
"2006-Q3";"P";"T4";"1143111.79636564"
"2006-Q3";"N";"T0";"694984.77239752"
"2006-Q3";"N";"T1";"437575.17428976"
"2006-Q3";"N";"T2";"207493.53769495"
"2006-Q3";"N";"D";"1122.7"
"2006-Q3";"N";"T4";"-28693.88196942"
"2006-Q3";"N";"T7";"77487.24238223"
"2006-Q4";"A";"T0";"3125465.10043043"
"2006-Q4";"A";"T1";"804647.367"
"2006-Q4";"A";"T2";"1139669.7578495"
"2006-Q4";"A";"D";"46244"
"2006-Q4";"A";"T4";"1056236.02379121"
"2006-Q4";"A";"T7";"78667.95178972"
"2006-Q4";"P";"T0";"2528255.43062528"
"2006-Q4";"P";"T1";"466622.43159087"
"2006-Q4";"P";"T2";"959161.51"
"2006-Q4";"P";"D";"41914.4"
"2006-Q4";"P";"T4";"1060557.08903441"
"2006-Q4";"N";"T0";"597209.66980515"
"2006-Q4";"N";"T1";"338024.93540913"
"2006-Q4";"N";"T2";"180508.2478495"
"2006-Q4";"N";"D";"4329.6"
"2006-Q4";"N";"T4";"-4321.0652432"
"2006-Q4";"N";"T7";"78667.95178972"
"2007-Q1";"A";"T0";"3520408.55875223"
"2007-Q1";"A";"T1";"849310.17792335"
"2007-Q1";"A";"T2";"1207489.70791945"
"2007-Q1";"A";"D";"44776.8"
"2007-Q1";"A";"T4";"1338964.39923168"
"2007-Q1";"A";"T7";"79867.47367775"
"2007-Q1";"P";"T0";"2873724.13677696"
"2007-Q1";"P";"T1";"505286.23202522"
"2007-Q1";"P";"T2";"960802.924"
"2007-Q1";"P";"D";"46657.6"
"2007-Q1";"P";"T4";"1360977.38075174"
"2007-Q1";"N";"T0";"646684.42197528"
"2007-Q1";"N";"T1";"344023.94589813"
"2007-Q1";"N";"T2";"246686.78391945"
"2007-Q1";"N";"D";"-1880.8"
"2007-Q1";"N";"T4";"-22012.98152006"
"2007-Q1";"N";"T7";"79867.47367775"
"2007-Q2";"A";"T0";"3626794.62124651"
"2007-Q2";"A";"T1";"886689.15262455"
"2007-Q2";"A";"T2";"1275131.1237734"
"2007-Q2";"A";"D";"52566.2"
"2007-Q2";"A";"T4";"1332991.07690571"
"2007-Q2";"A";"T7";"79417.06794285"
"2007-Q2";"P";"T0";"2953117.61869718"
"2007-Q2";"P";"T1";"553594.8869676"
"2007-Q2";"P";"T2";"1003800.155"
"2007-Q2";"P";"D";"54012.7"
"2007-Q2";"P";"T4";"1341709.87672958"
"2007-Q2";"N";"T0";"673677.00254932"
"2007-Q2";"N";"T1";"333094.26565695"
"2007-Q2";"N";"T2";"271330.9687734"
"2007-Q2";"N";"D";"-1446.5"
"2007-Q2";"N";"T4";"-8718.79982387"
"2007-Q2";"N";"T7";"79417.06794285"
"2007-Q3";"A";"T0";"3634391.48110969"
"2007-Q3";"A";"T1";"901251.18084019"
"2007-Q3";"A";"T2";"1279647.73736845"
"2007-Q3";"A";"D";"70712.5"
"2007-Q3";"A";"T4";"1300345.21015312"
"2007-Q3";"A";"T7";"82434.85274793"
"2007-Q3";"P";"T0";"2932914.79164148"
"2007-Q3";"P";"T1";"592191.44672126"
"2007-Q3";"P";"T2";"977316.684"
"2007-Q3";"P";"D";"68161.9"
"2007-Q3";"P";"T4";"1295244.76092022"
"2007-Q3";"N";"T0";"701476.68946821"
"2007-Q3";"N";"T1";"309059.73411893"
"2007-Q3";"N";"T2";"302331.05336845"
"2007-Q3";"N";"D";"2550.6"
"2007-Q3";"N";"T4";"5100.44923289"
"2007-Q3";"N";"T7";"82434.85274793"
"2007-Q4";"A";"T0";"3746579.8693815"
"2007-Q4";"A";"T1";"927605.821"
"2007-Q4";"A";"T2";"1271370.17500858"
"2007-Q4";"A";"D";"58312.2"
"2007-Q4";"A";"T4";"1404262.68466045"
"2007-Q4";"A";"T7";"85028.98871247"
"2007-Q4";"P";"T0";"3007096.19314371"
"2007-Q4";"P";"T1";"620423.8196208"
"2007-Q4";"P";"T2";"920815.488"
"2007-Q4";"P";"D";"57198.8"
"2007-Q4";"P";"T4";"1408658.08552292"
"2007-Q4";"N";"T0";"739483.67623779"
"2007-Q4";"N";"T1";"307182.0013792"
"2007-Q4";"N";"T2";"350554.68700858"
"2007-Q4";"N";"D";"1113.4"
"2007-Q4";"N";"T4";"-4395.40086247"
"2007-Q4";"N";"T7";"85028.98871247"
"2008-Q1";"A";"T0";"3544297.12060864"
"2008-Q1";"A";"T1";"898113.07913106"
"2008-Q1";"A";"T2";"1178252.9436431"
"2008-Q1";"A";"D";"123359"
"2008-Q1";"A";"T4";"1264346.44332443"
"2008-Q1";"A";"T7";"80225.65451005"
"2008-Q1";"P";"T0";"2850195.67405327"
"2008-Q1";"P";"T1";"626863.93278881"
"2008-Q1";"P";"T2";"815369.418"
"2008-Q1";"P";"D";"116266.8"
"2008-Q1";"P";"T4";"1291695.52326446"
"2008-Q1";"N";"T0";"694101.44655537"
"2008-Q1";"N";"T1";"271249.14634225"
"2008-Q1";"N";"T2";"362883.5256431"
"2008-Q1";"N";"D";"7092.2"
"2008-Q1";"N";"T4";"-27349.07994003"
"2008-Q1";"N";"T7";"80225.65451005"
"2008-Q2";"A";"T0";"3424988.80212263"
"2008-Q2";"A";"T1";"929942.69141444"
"2008-Q2";"A";"T2";"1177009.77815075"
"2008-Q2";"A";"D";"109902.1"
"2008-Q2";"A";"T4";"1127446.49015557"
"2008-Q2";"A";"T7";"80687.74240186"
"2008-Q2";"P";"T0";"2717673.19334682"
"2008-Q2";"P";"T1";"657359.17972709"
"2008-Q2";"P";"T2";"807211.804"
"2008-Q2";"P";"D";"100850.1"
"2008-Q2";"P";"T4";"1152252.10961974"
"2008-Q2";"N";"T0";"707315.6087758"
"2008-Q2";"N";"T1";"272583.51168736"
"2008-Q2";"N";"T2";"369797.97415075"
"2008-Q2";"N";"D";"9052"
"2008-Q2";"N";"T4";"-24805.61946417"
"2008-Q2";"N";"T7";"80687.74240186"
"2008-Q3";"A";"T0";"3494836.46929945"
"2008-Q3";"A";"T1";"959503.52473699"
"2008-Q3";"A";"T2";"1128324.56848258"
"2008-Q3";"A";"D";"130286.6"
"2008-Q3";"A";"T4";"1194268.36221727"
"2008-Q3";"A";"T7";"82453.41386261"
"2008-Q3";"P";"T0";"2787580.20641586"
"2008-Q3";"P";"T1";"676446.71829118"
"2008-Q3";"P";"T2";"780927.973"
"2008-Q3";"P";"D";"130988.3"
"2008-Q3";"P";"T4";"1199217.21512468"
"2008-Q3";"N";"T0";"707256.26288359"
"2008-Q3";"N";"T1";"283056.80644581"
"2008-Q3";"N";"T2";"347396.59548258"
"2008-Q3";"N";"D";"-701.7"
"2008-Q3";"N";"T4";"-4948.85290741"
"2008-Q3";"N";"T7";"82453.41386261"
"2008-Q4";"A";"T0";"3219024.75990676"
"2008-Q4";"A";"T1";"948851.25"
"2008-Q4";"A";"T2";"1012917.86525899"
"2008-Q4";"A";"D";"160018.57615124"
"2008-Q4";"A";"T4";"1018349.71003667"
"2008-Q4";"A";"T7";"78887.35845986"
"2008-Q4";"P";"T0";"2569296.93840877"
"2008-Q4";"P";"T1";"685988.48492184"
"2008-Q4";"P";"T2";"656369.957"
"2008-Q4";"P";"D";"164495.21918743"
"2008-Q4";"P";"T4";"1062443.27729949"
"2008-Q4";"N";"T0";"649727.82149799"
"2008-Q4";"N";"T1";"262862.76507816"
"2008-Q4";"N";"T2";"356547.90825899"
"2008-Q4";"N";"D";"-4476.64303619"
"2008-Q4";"N";"T4";"-44093.56726282"
"2008-Q4";"N";"T7";"78887.35845986"
"2009-Q1";"A";"T0";"3299827.53904584"
"2009-Q1";"A";"T1";"1008198.45707754"
"2009-Q1";"A";"T2";"1030727.96372614"
"2009-Q1";"A";"D";"140534.38433063"
"2009-Q1";"A";"T4";"1028527.16478555"
"2009-Q1";"A";"T7";"91839.56912598"
"2009-Q1";"P";"T0";"2561738.53379804"
"2009-Q1";"P";"T1";"714079.53234597"
"2009-Q1";"P";"T2";"590318.75"
"2009-Q1";"P";"D";"143910.57525374"
"2009-Q1";"P";"T4";"1113429.67619833"
"2009-Q1";"N";"T0";"738089.0052478"
"2009-Q1";"N";"T1";"294118.92473157"
"2009-Q1";"N";"T2";"440409.21372614"
